"Order.External_Id__c","PricebookEntry.External_Id__c","Product.Name","Quantity","UnitPrice","External_Id__c","LastProcessedDate","analyticsdemo_batch_id__c"
"MFG_Order.1991","MFG_Custom.13","Ripper 34",88,1282,"MFG_OrderItem.1","2019-10-24","20191024191458752523"
"MFG_Order.1992","MFG_Custom.13","Ripper 34",84,1282,"MFG_OrderItem.2","2019-10-24","20191024191458752523"
"MFG_Order.1993","MFG_Custom.13","Ripper 34",81,1282,"MFG_OrderItem.3","2019-10-24","20191024191458752523"
"MFG_Order.1994","MFG_Custom.13","Ripper 34",77,1282,"MFG_OrderItem.4","2019-10-24","20191024191458752523"
"MFG_Order.1154","MFG_Custom.13","Ripper 34",71,1282,"MFG_OrderItem.5","2019-10-24","20191024191458752523"
"MFG_Order.363","MFG_Custom.154","Hammer H700",25,4772,"MFG_OrderItem.6","2019-10-24","20191024191458752523"
"MFG_Order.3787","MFG_Custom.154","Hammer H700",23,4772,"MFG_OrderItem.7","2019-10-24","20191024191458752523"
"MFG_Order.3788","MFG_Custom.154","Hammer H700",23,4772,"MFG_OrderItem.8","2019-10-24","20191024191458752523"
"MFG_Order.3789","MFG_Custom.154","Hammer H700",22,4772,"MFG_OrderItem.9","2019-10-24","20191024191458752523"
"MFG_Order.3790","MFG_Custom.154","Hammer H700",26,4772,"MFG_OrderItem.10","2019-10-24","20191024191458752523"
"MFG_Order.3791","MFG_Custom.154","Hammer H700",24,4772,"MFG_OrderItem.11","2019-10-24","20191024191458752523"
"MFG_Order.3792","MFG_Custom.154","Hammer H700",25,4772,"MFG_OrderItem.12","2019-10-24","20191024191458752523"
"MFG_Order.3793","MFG_Custom.154","Hammer H700",22,4772,"MFG_OrderItem.13","2019-10-24","20191024191458752523"
"MFG_Order.3794","MFG_Custom.154","Hammer H700",22,4772,"MFG_OrderItem.14","2019-10-24","20191024191458752523"
"MFG_Order.3795","MFG_Custom.154","Hammer H700",23,4772,"MFG_OrderItem.15","2019-10-24","20191024191458752523"
"MFG_Order.3796","MFG_Custom.154","Hammer H700",25,4772,"MFG_OrderItem.16","2019-10-24","20191024191458752523"
"MFG_Order.3797","MFG_Custom.154","Hammer H700",24,4772,"MFG_OrderItem.17","2019-10-24","20191024191458752523"
"MFG_Order.3798","MFG_Custom.154","Hammer H700",26,4772,"MFG_OrderItem.18","2019-10-24","20191024191458752523"
"MFG_Order.3799","MFG_Custom.154","Hammer H700",24,4772,"MFG_OrderItem.19","2019-10-24","20191024191458752523"
"MFG_Order.3800","MFG_Custom.154","Hammer H700",25,4772,"MFG_OrderItem.20","2019-10-24","20191024191458752523"
"MFG_Order.3837","MFG_Custom.154","Hammer H700",25,4772,"MFG_OrderItem.21","2019-10-24","20191024191458752523"
"MFG_Order.3838","MFG_Custom.154","Hammer H700",26,4772,"MFG_OrderItem.22","2019-10-24","20191024191458752523"
"MFG_Order.3839","MFG_Custom.154","Hammer H700",25,4772,"MFG_OrderItem.23","2019-10-24","20191024191458752523"
"MFG_Order.386","MFG_Custom.12","Ripper 27",116,760,"MFG_OrderItem.24","2019-10-24","20191024191458752523"
"MFG_Order.387","MFG_Custom.12","Ripper 27",131,760,"MFG_OrderItem.25","2019-10-24","20191024191458752523"
"MFG_Order.388","MFG_Custom.12","Ripper 27",114,760,"MFG_OrderItem.26","2019-10-24","20191024191458752523"
"MFG_Order.389","MFG_Custom.12","Ripper 27",115,760,"MFG_OrderItem.27","2019-10-24","20191024191458752523"
"MFG_Order.390","MFG_Custom.12","Ripper 27",126,760,"MFG_OrderItem.28","2019-10-24","20191024191458752523"
"MFG_Order.391","MFG_Custom.12","Ripper 27",127,760,"MFG_OrderItem.29","2019-10-24","20191024191458752523"
"MFG_Order.392","MFG_Custom.12","Ripper 27",121,760,"MFG_OrderItem.30","2019-10-24","20191024191458752523"
"MFG_Order.393","MFG_Custom.12","Ripper 27",132,760,"MFG_OrderItem.31","2019-10-24","20191024191458752523"
"MFG_Order.394","MFG_Custom.12","Ripper 27",118,760,"MFG_OrderItem.32","2019-10-24","20191024191458752523"
"MFG_Order.395","MFG_Custom.12","Ripper 27",123,760,"MFG_OrderItem.33","2019-10-24","20191024191458752523"
"MFG_Order.396","MFG_Custom.12","Ripper 27",117,760,"MFG_OrderItem.34","2019-10-24","20191024191458752523"
"MFG_Order.397","MFG_Custom.12","Ripper 27",123,760,"MFG_OrderItem.35","2019-10-24","20191024191458752523"
"MFG_Order.398","MFG_Custom.12","Ripper 27",109,760,"MFG_OrderItem.36","2019-10-24","20191024191458752523"
"MFG_Order.399","MFG_Custom.12","Ripper 27",110,760,"MFG_OrderItem.37","2019-10-24","20191024191458752523"
"MFG_Order.400","MFG_Custom.12","Ripper 27",120,760,"MFG_OrderItem.38","2019-10-24","20191024191458752523"
"MFG_Order.401","MFG_Custom.12","Ripper 27",112,760,"MFG_OrderItem.39","2019-10-24","20191024191458752523"
"MFG_Order.402","MFG_Custom.12","Ripper 27",129,760,"MFG_OrderItem.40","2019-10-24","20191024191458752523"
"MFG_Order.403","MFG_Custom.12","Ripper 27",132,760,"MFG_OrderItem.41","2019-10-24","20191024191458752523"
"MFG_Order.4296","MFG_Custom.6","Trencher T48",23,5760,"MFG_OrderItem.42","2019-10-24","20191024191458752523"
"MFG_Order.4297","MFG_Custom.6","Trencher T48",26,5760,"MFG_OrderItem.43","2019-10-24","20191024191458752523"
"MFG_Order.4298","MFG_Custom.6","Trencher T48",26,5760,"MFG_OrderItem.44","2019-10-24","20191024191458752523"
"MFG_Order.4299","MFG_Custom.6","Trencher T48",26,5760,"MFG_OrderItem.45","2019-10-24","20191024191458752523"
"MFG_Order.4300","MFG_Custom.6","Trencher T48",26,5760,"MFG_OrderItem.46","2019-10-24","20191024191458752523"
"MFG_Order.4301","MFG_Custom.6","Trencher T48",25,5760,"MFG_OrderItem.47","2019-10-24","20191024191458752523"
"MFG_Order.4302","MFG_Custom.6","Trencher T48",24,5760,"MFG_OrderItem.48","2019-10-24","20191024191458752523"
"MFG_Order.4303","MFG_Custom.6","Trencher T48",23,5760,"MFG_OrderItem.49","2019-10-24","20191024191458752523"
"MFG_Order.4304","MFG_Custom.6","Trencher T48",26,5760,"MFG_OrderItem.50","2019-10-24","20191024191458752523"
"MFG_Order.4305","MFG_Custom.6","Trencher T48",26,5760,"MFG_OrderItem.51","2019-10-24","20191024191458752523"
"MFG_Order.4306","MFG_Custom.6","Trencher T48",23,5760,"MFG_OrderItem.52","2019-10-24","20191024191458752523"
"MFG_Order.4307","MFG_Custom.6","Trencher T48",27,5760,"MFG_OrderItem.53","2019-10-24","20191024191458752523"
"MFG_Order.3537","MFG_Custom.6","Trencher T48",23,5760,"MFG_OrderItem.54","2019-10-24","20191024191458752523"
"MFG_Order.3538","MFG_Custom.6","Trencher T48",27,5760,"MFG_OrderItem.55","2019-10-24","20191024191458752523"
"MFG_Order.3539","MFG_Custom.6","Trencher T48",27,5760,"MFG_OrderItem.56","2019-10-24","20191024191458752523"
"MFG_Order.3540","MFG_Custom.6","Trencher T48",27,5760,"MFG_OrderItem.57","2019-10-24","20191024191458752523"
"MFG_Order.3541","MFG_Custom.6","Trencher T48",27,5760,"MFG_OrderItem.58","2019-10-24","20191024191458752523"
"MFG_Order.3542","MFG_Custom.6","Trencher T48",25,5760,"MFG_OrderItem.59","2019-10-24","20191024191458752523"
"MFG_Order.2852","MFG_Custom.142","Ripper 19",41,712,"MFG_OrderItem.60","2019-10-24","20191024191458752523"
"MFG_Order.2853","MFG_Custom.142","Ripper 19",39,712,"MFG_OrderItem.61","2019-10-24","20191024191458752523"
"MFG_Order.2854","MFG_Custom.142","Ripper 19",43,712,"MFG_OrderItem.62","2019-10-24","20191024191458752523"
"MFG_Order.2828","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.63","2019-10-24","20191024191458752523"
"MFG_Order.2829","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.64","2019-10-24","20191024191458752523"
"MFG_Order.2830","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.65","2019-10-24","20191024191458752523"
"MFG_Order.2831","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.66","2019-10-24","20191024191458752523"
"MFG_Order.2832","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.67","2019-10-24","20191024191458752523"
"MFG_Order.2833","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.68","2019-10-24","20191024191458752523"
"MFG_Order.2834","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.69","2019-10-24","20191024191458752523"
"MFG_Order.2835","MFG_Custom.7","Trencher T60",7,6480,"MFG_OrderItem.70","2019-10-24","20191024191458752523"
