"DiscountPercentage","InitialPlannedQuantity","Name","PricebookEntry.External_Id__c","SalesAgreement.External_Id__c","SalesPrice","External_Id__c","LastProcessedDate","analyticsdemo_batch_id__c"
2,162,"Hammer H500","PricebookEntry.077","MFG_SalesAgreement.72",3066,"MFG_SalesAgreementProduct.1","2019-10-24","20191024191458752523"
8,36,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.65",4365,"MFG_SalesAgreementProduct.2","2019-10-24","20191024191458752523"
2,108,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.23",6450,"MFG_SalesAgreementProduct.3","2019-10-24","20191024191458752523"
15,84,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.15",3420,"MFG_SalesAgreementProduct.4","2019-10-24","20191024191458752523"
20,36,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.38",15785,"MFG_SalesAgreementProduct.5","2019-10-24","20191024191458752523"
10,588,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.29",970,"MFG_SalesAgreementProduct.6","2019-10-24","20191024191458752523"
13,36,"Hammer H500","PricebookEntry.077","MFG_SalesAgreement.15",2940,"MFG_SalesAgreementProduct.7","2019-10-24","20191024191458752523"
14,36,"Compactor 3500","PricebookEntry.081","MFG_SalesAgreement.25",4025,"MFG_SalesAgreementProduct.8","2019-10-24","20191024191458752523"
2,24,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.55",9100,"MFG_SalesAgreementProduct.9","2019-10-24","20191024191458752523"
7,288,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.42",4560,"MFG_SalesAgreementProduct.10","2019-10-24","20191024191458752523"
15,2592,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.63",958,"MFG_SalesAgreementProduct.11","2019-10-24","20191024191458752523"
8,144,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.38",4320,"MFG_SalesAgreementProduct.12","2019-10-24","20191024191458752523"
7,72,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.41",19475,"MFG_SalesAgreementProduct.13","2019-10-24","20191024191458752523"
11,18,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.87",6279,"MFG_SalesAgreementProduct.14","2019-10-24","20191024191458752523"
4,318,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.10",890,"MFG_SalesAgreementProduct.15","2019-10-24","20191024191458752523"
1,486,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.75",4600,"MFG_SalesAgreementProduct.16","2019-10-24","20191024191458752523"
0,42,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.86",3600,"MFG_SalesAgreementProduct.17","2019-10-24","20191024191458752523"
14,36,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.28",6555,"MFG_SalesAgreementProduct.18","2019-10-24","20191024191458752523"
9,48,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.96",5056,"MFG_SalesAgreementProduct.19","2019-10-24","20191024191458752523"
12,162,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.85",5244,"MFG_SalesAgreementProduct.20","2019-10-24","20191024191458752523"
11,180,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.70",7125,"MFG_SalesAgreementProduct.21","2019-10-24","20191024191458752523"
1,1,"Backhoe Attachment R1","PricebookEntry.068","MFG_SalesAgreement.103",16770,"MFG_SalesAgreementProduct.22","2019-10-24","20191024191458752523"
17,1764,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.90",970,"MFG_SalesAgreementProduct.23","2019-10-24","20191024191458752523"
17,60,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.30",5475,"MFG_SalesAgreementProduct.24","2019-10-24","20191024191458752523"
0,360,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.92",3895,"MFG_SalesAgreementProduct.25","2019-10-24","20191024191458752523"
9,324,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.60",4050,"MFG_SalesAgreementProduct.26","2019-10-24","20191024191458752523"
16,2430,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.61",1012,"MFG_SalesAgreementProduct.27","2019-10-24","20191024191458752523"
8,216,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.73",4830,"MFG_SalesAgreementProduct.28","2019-10-24","20191024191458752523"
14,54,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.24",11830,"MFG_SalesAgreementProduct.29","2019-10-24","20191024191458752523"
13,378,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.101",5520,"MFG_SalesAgreementProduct.30","2019-10-24","20191024191458752523"
19,288,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.87",1000,"MFG_SalesAgreementProduct.31","2019-10-24","20191024191458752523"
11,72,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.102",4968,"MFG_SalesAgreementProduct.32","2019-10-24","20191024191458752523"
18,144,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.82",9360,"MFG_SalesAgreementProduct.33","2019-10-24","20191024191458752523"
14,378,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.77",760,"MFG_SalesAgreementProduct.34","2019-10-24","20191024191458752523"
0,252,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.92",3825,"MFG_SalesAgreementProduct.35","2019-10-24","20191024191458752523"
5,162,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.75",8100,"MFG_SalesAgreementProduct.36","2019-10-24","20191024191458752523"
3,48,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.46",6900,"MFG_SalesAgreementProduct.37","2019-10-24","20191024191458752523"
20,18,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.67",5520,"MFG_SalesAgreementProduct.38","2019-10-24","20191024191458752523"
16,90,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.38",7425,"MFG_SalesAgreementProduct.39","2019-10-24","20191024191458752523"
5,108,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.58",7695,"MFG_SalesAgreementProduct.40","2019-10-24","20191024191458752523"
0,126,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.22",5635,"MFG_SalesAgreementProduct.41","2019-10-24","20191024191458752523"
17,324,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.100",6075,"MFG_SalesAgreementProduct.42","2019-10-24","20191024191458752523"
1,18,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.55",6417,"MFG_SalesAgreementProduct.43","2019-10-24","20191024191458752523"
13,108,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.71",6141,"MFG_SalesAgreementProduct.44","2019-10-24","20191024191458752523"
16,12,"Backhoe Attachment R1","PricebookEntry.068","MFG_SalesAgreement.17",14430,"MFG_SalesAgreementProduct.45","2019-10-24","20191024191458752523"
1,120,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.32",3752,"MFG_SalesAgreementProduct.46","2019-10-24","20191024191458752523"
1,378,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.95",5888,"MFG_SalesAgreementProduct.47","2019-10-24","20191024191458752523"
15,216,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.96",1255,"MFG_SalesAgreementProduct.48","2019-10-24","20191024191458752523"
18,12,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.78",17220,"MFG_SalesAgreementProduct.49","2019-10-24","20191024191458752523"
19,432,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.74",3195,"MFG_SalesAgreementProduct.50","2019-10-24","20191024191458752523"
